Protein,Function,Is Cancer,Result test 1
Prot_0,Func_0003723,0,nonCancer
Prot_0,Func_0035097,0,nonCancer
Prot_0,Func_0016568,0,nonCancer
Prot_0,Func_0051568,0,nonCancer
Prot_0,Func_0016740,0,nonCancer
Prot_0,Func_0016607,0,nonCancer
Prot_0,Func_0005730,0,nonCancer
Prot_0,Func_0042800,0,nonCancer
Prot_0,Func_0000166,0,nonCancer
Prot_0,Func_0045449,0,nonCancer
Prot_0,Func_0008168,0,nonCancer
Prot_0,Func_0005634,0,nonCancer
Prot_1,Func_0046872,0,nonCancer
Prot_1,Func_0007049,0,nonCancer
Prot_1,Func_0016301,0,nonCancer
Prot_1,Func_0016740,0,nonCancer
Prot_1,Func_0000082,0,nonCancer
Prot_1,Func_0005737,0,nonCancer
Prot_1,Func_0008284,0,nonCancer
Prot_1,Func_0005634,0,nonCancer
Prot_1,Func_0005654,0,nonCancer
Prot_1,Func_0004674,0,nonCancer
Prot_1,Func_0005524,0,nonCancer
Prot_1,Func_0033261,0,nonCancer
Prot_1,Func_0051301,0,nonCancer
Prot_1,Func_0006468,0,nonCancer
Prot_1,Func_0006260,0,nonCancer
Prot_1,Func_0005515,0,nonCancer
Prot_1,Func_0000166,0,nonCancer
Prot_2,Func_0016021,0,nonCancer
Prot_2,Func_0008285,0,nonCancer
Prot_2,Func_0007596,0,nonCancer
Prot_2,Func_0004896,0,nonCancer
Prot_2,Func_0032002,0,nonCancer
Prot_2,Func_0050691,0,nonCancer
Prot_2,Func_0004872,0,nonCancer
Prot_2,Func_0016020,0,nonCancer
Prot_2,Func_0005515,0,nonCancer
Prot_3,Func_0043565,0,nonCancer
Prot_3,Func_0006338,0,nonCancer
Prot_3,Func_0008622,0,nonCancer
Prot_3,Func_0008623,0,nonCancer
Prot_3,Func_0003887,0,nonCancer
Prot_3,Func_0016740,0,nonCancer
Prot_3,Func_0003677,0,nonCancer
Prot_3,Func_0005622,0,nonCancer
Prot_3,Func_0005515,0,nonCancer
Prot_3,Func_0005634,0,nonCancer
Prot_3,Func_0016779,0,nonCancer
Prot_4,Func_0005654,0,nonCancer
Prot_4,Func_0006355,0,nonCancer
Prot_4,Func_0003700,0,nonCancer
Prot_4,Func_0005667,0,nonCancer
Prot_4,Func_0005634,0,nonCancer
Prot_4,Func_0008134,0,nonCancer
Prot_5,Func_0004930,0,nonCancer
Prot_5,Func_0005886,0,nonCancer
Prot_5,Func_0007166,0,nonCancer
Prot_5,Func_0042391,0,nonCancer
Prot_5,Func_0016492,0,nonCancer
Prot_5,Func_0005887,0,nonCancer
Prot_5,Func_0004872,0,nonCancer
Prot_5,Func_0007200,0,nonCancer
Prot_5,Func_0007600,0,nonCancer
Prot_5,Func_0007165,0,nonCancer
Prot_6,Func_0005739,0,nonCancer
Prot_6,Func_0003674,0,nonCancer
Prot_6,Func_0007399,0,nonCancer
Prot_6,Func_0008219,0,nonCancer
Prot_6,Func_0045110,0,nonCancer
Prot_6,Func_0060052,0,nonCancer
Prot_6,Func_0005883,0,nonCancer
Prot_6,Func_0030424,0,nonCancer
Prot_6,Func_0005515,0,nonCancer
Prot_6,Func_0000226,0,nonCancer
Prot_8,Func_0046872,0,nonCancer
Prot_8,Func_0005789,0,nonCancer
Prot_8,Func_0004497,0,nonCancer
Prot_8,Func_0009055,0,nonCancer
Prot_8,Func_0020037,0,nonCancer
Prot_8,Func_0008144,0,nonCancer
Prot_8,Func_0005792,0,nonCancer
Prot_8,Func_0019825,0,nonCancer
Prot_8,Func_0017144,0,nonCancer
Prot_8,Func_0070989,0,nonCancer
Prot_8,Func_0016020,0,nonCancer
Prot_8,Func_0032787,0,nonCancer
Prot_8,Func_0034875,0,nonCancer
Prot_8,Func_0018676,0,nonCancer
Prot_8,Func_0055114,0,nonCancer
Prot_8,Func_0008395,0,nonCancer
Prot_8,Func_0018675,0,nonCancer
Prot_8,Func_0016491,0,nonCancer
Prot_8,Func_0033767,0,nonCancer
Prot_8,Func_0042738,0,nonCancer
Prot_8,Func_0043603,0,nonCancer
Prot_8,Func_0019627,0,nonCancer
Prot_8,Func_0008202,0,nonCancer
Prot_8,Func_0042737,0,nonCancer
Prot_8,Func_0016098,0,nonCancer
Prot_8,Func_0005783,0,nonCancer
Prot_10,Func_0005739,0,nonCancer
Prot_10,Func_0060334,0,nonCancer
Prot_10,Func_0042470,0,nonCancer
Prot_10,Func_0006986,0,nonCancer
