Prot_0,Prot_6476
Prot_1,Prot_604
Prot_1,Prot_3466
Prot_1,Prot_5215
Prot_1,Prot_7154
Prot_1,Prot_5352
Prot_1,Prot_3950
Prot_1,Prot_4820
Prot_1,Prot_3894
Prot_1,Prot_1482
Prot_1,Prot_8751
Prot_1,Prot_4803
Prot_1,Prot_567
Prot_1,Prot_5897
Prot_1,Prot_1689
Prot_1,Prot_830
Prot_1,Prot_1814
Prot_1,Prot_1180
Prot_1,Prot_2705
Prot_1,Prot_3162
Prot_2,Prot_2630
Prot_2,Prot_345
Prot_2,Prot_8543
Prot_2,Prot_2339
Prot_3,Prot_3362
Prot_3,Prot_5529
Prot_3,Prot_3866
Prot_4,Prot_252
Prot_4,Prot_4535
Prot_4,Prot_9751
Prot_4,Prot_7898
Prot_4,Prot_4132
Prot_4,Prot_9975
Prot_4,Prot_7973
Prot_4,Prot_2938
Prot_4,Prot_6242
Prot_4,Prot_1678
Prot_4,Prot_9086
Prot_4,Prot_144
Prot_5,Prot_9690
Prot_6,Prot_3881
Prot_6,Prot_2411
Prot_6,Prot_8717
Prot_6,Prot_7645
Prot_6,Prot_3811
Prot_6,Prot_3781
Prot_6,Prot_1887
Prot_6,Prot_6921
Prot_6,Prot_3107
Prot_7,Prot_9630
Prot_8,Prot_8274
Prot_9,Prot_6008
Prot_9,Prot_9841
Prot_9,Prot_7991
Prot_9,Prot_4283
Prot_9,Prot_9215
Prot_10,Prot_2342
Prot_10,Prot_4781
Prot_10,Prot_7742
Prot_10,Prot_8522
Prot_10,Prot_7021
Prot_10,Prot_624
Prot_10,Prot_1370
Prot_10,Prot_8605
Prot_10,Prot_4000
Prot_10,Prot_6007
Prot_10,Prot_9167
Prot_10,Prot_313
Prot_10,Prot_1884
Prot_10,Prot_1815
Prot_10,Prot_4877
Prot_10,Prot_7529
Prot_10,Prot_5286
Prot_10,Prot_5199
Prot_10,Prot_4880
Prot_10,Prot_3699
Prot_10,Prot_4506
Prot_10,Prot_6798
Prot_10,Prot_6489
Prot_10,Prot_9715
Prot_10,Prot_652
Prot_10,Prot_5696
Prot_10,Prot_7639
Prot_10,Prot_5301
Prot_10,Prot_933
Prot_10,Prot_10006
Prot_10,Prot_1843
Prot_10,Prot_1482
Prot_10,Prot_1845
Prot_10,Prot_3804
Prot_10,Prot_9654
Prot_10,Prot_3651
Prot_10,Prot_1634
Prot_10,Prot_674
Prot_10,Prot_815
Prot_10,Prot_2727
Prot_10,Prot_9057
Prot_10,Prot_4936
Prot_10,Prot_6532
Prot_10,Prot_3580
Prot_10,Prot_8411
Prot_10,Prot_5658
Prot_10,Prot_8829
Prot_10,Prot_7191
Prot_10,Prot_7914
Prot_10,Prot_5257
Prot_10,Prot_3111
Prot_10,Prot_6372
Prot_10,Prot_9516
Prot_10,Prot_4159
Prot_10,Prot_4708
Prot_11,Prot_3563
Prot_11,Prot_8951
Prot_12,Prot_8763
Prot_12,Prot_120
Prot_12,Prot_9522
Prot_12,Prot_9284
Prot_12,Prot_229
Prot_12,Prot_919
Prot_12,Prot_7519
Prot_12,Prot_9814
Prot_12,Prot_647
Prot_12,Prot_4254
Prot_12,Prot_1201
Prot_12,Prot_9752
Prot_12,Prot_1050
Prot_12,Prot_4705
Prot_12,Prot_1991
Prot_12,Prot_5878
Prot_12,Prot_7232
Prot_13,Prot_5096
Prot_13,Prot_9298
Prot_13,Prot_4710
Prot_13,Prot_6455
Prot_13,Prot_4715
Prot_13,Prot_546
Prot_13,Prot_4334
Prot_13,Prot_6161
Prot_13,Prot_1306
Prot_13,Prot_5362
Prot_13,Prot_8447
Prot_13,Prot_7846
Prot_13,Prot_4009
Prot_13,Prot_9700
Prot_13,Prot_4351
Prot_13,Prot_8628
Prot_13,Prot_8296
Prot_13,Prot_4500
Prot_13,Prot_323
Prot_13,Prot_6717
Prot_13,Prot_568
Prot_13,Prot_1909
Prot_13,Prot_32
Prot_13,Prot_6181
Prot_13,Prot_3464
Prot_13,Prot_2541
Prot_13,Prot_1704
Prot_13,Prot_5142
Prot_13,Prot_1252
Prot_13,Prot_10010
Prot_13,Prot_2139
Prot_13,Prot_4214
Prot_13,Prot_667
Prot_13,Prot_7406
Prot_13,Prot_6197
Prot_13,Prot_7790
Prot_13,Prot_7481
Prot_13,Prot_3390
Prot_13,Prot_6820
Prot_13,Prot_3884
Prot_13,Prot_6738
Prot_13,Prot_4052
Prot_13,Prot_7804
Prot_13,Prot_2649
Prot_13,Prot_7255
Prot_13,Prot_525
Prot_13,Prot_65
Prot_13,Prot_4230
Prot_13,Prot_5079
Prot_13,Prot_7812
Prot_13,Prot_1273
Prot_13,Prot_2746
Prot_13,Prot_9064
Prot_13,Prot_373
Prot_13,Prot_2169
Prot_13,Prot_4159
Prot_13,Prot_8917
Prot_14,Prot_3211
Prot_14,Prot_5560
Prot_14,Prot_843
Prot_14,Prot_4132
Prot_14,Prot_3686
Prot_14,Prot_1128
Prot_14,Prot_1308
Prot_15,Prot_407
Prot_16,Prot_162
Prot_17,Prot_7106
Prot_17,Prot_3120
Prot_17,Prot_9448
Prot_17,Prot_5921
Prot_17,Prot_4877
Prot_17,Prot_8741
Prot_17,Prot_5878
